Year,Round,Date,AwayTeam,AwayTeamScoreFT,RoundOrder,HomeTeam,HomeTeamScoreFT,Result
2018,R7,5/5/2018,Gold Coast,10.12,7,Western Bulldogs,11.15,lost
2018,R8,12/5/2018,Brisbane Lions,14.9,8,Western Bulldogs,16.11,lost
2019,R1,23/3/2019,Hawthorn,12.15,1,Adelaide,7.13,win
2019,R10,25/5/2019,West Coast,13.7,10,Adelaide,10.13,win
2019,R12,8/6/2019,Greater Western Sydney,9.7,12,Adelaide,12.1,lost
2019,R13,13/6/2019,Richmond,9.14,13,Adelaide,15.11,lost
2019,R16,6/7/2019,Port Adelaide,15.11,16,Adelaide,5.14,win
2019,R18,19/7/2019,Essendon,15.6,18,Adelaide,10.15,win
2019,R20,3/8/2019,St Kilda,10.1,20,Adelaide,14.8,lost
2019,R22,17/8/2019,Collingwood,17.12,22,Adelaide,6.12,win
2019,R3,4/4/2019,Geelong,14.15,3,Adelaide,10.15,win
2019,R5,21/4/2019,Gold Coast,6.1,5,Adelaide,18.11,lost
2019,R7,5/5/2019,Fremantle,5.4,7,Adelaide,7.9,lost
2019,QF,7/9/2019,Richmond,18.4,26,Brisbane Lions,8.17,win
2019,R1,23/3/2019,West Coast,8.1,1,Brisbane Lions,15.12,lost
2019,R11,1/6/2019,Hawthorn,10.6,11,Brisbane Lions,12.13,lost
2019,R15,30/6/2019,Melbourne,11.8,15,Brisbane Lions,15.17,lost
2019,R18,20/7/2019,North Melbourne,12.3,18,Brisbane Lions,12.15,win
2019,R20,4/8/2019,Western Bulldogs,11.14,20,Brisbane Lions,14.14,lost
2019,R21,10/8/2019,Gold Coast,8.5,21,Brisbane Lions,22.12,lost
2019,R22,17/8/2019,Geelong,10.14,22,Brisbane Lions,10.15,lost
2019,R3,6/4/2019,Port Adelaide,13.12,3,Brisbane Lions,16.11,lost
2019,R5,18/4/2019,Collingwood,18.15,5,Brisbane Lions,8.13,win
2019,R7,4/5/2019,Sydney,12.9,7,Brisbane Lions,14.19,lost
2019,R9,18/5/2019,Adelaide,13.14,9,Brisbane Lions,13.15,lost
2019,SF,14/9/2019,Greater Western Sydney,12.11,27,Brisbane Lions,11.14,win
2019,R1,21/3/2019,Richmond,14.13,1,Carlton,9.1,win
2019,R12,8/6/2019,Brisbane Lions,9.9,12,Carlton,11.12,lost
2019,R13,15/6/2019,Western Bulldogs,15.13,13,Carlton,15.1,win
2019,R16,7/7/2019,Melbourne,15.15,16,Carlton,15.1,win
2019,R18,20/7/2019,Gold Coast,11.9,18,Carlton,15.9,lost
2019,R19,27/7/2019,Adelaide,9.6,19,Carlton,13.9,lost
2019,R20,4/8/2019,West Coast,15.9,20,Carlton,11.9,win
2019,R22,17/8/2019,St Kilda,10.8,22,Carlton,11.12,lost
2019,R3,6/4/2019,Sydney,14.9,3,Carlton,10.14,win
2019,R7,5/5/2019,North Melbourne,18.12,7,Carlton,8.14,win
2019,R8,11/5/2019,Collingwood,16.1,8,Carlton,13.9,win
2019,PF,21/9/2019,Greater Western Sydney,8.8,28,Collingwood,7.1,win
2019,R1,22/3/2019,Geelong,10.12,1,Collingwood,9.11,win
2019,R11,1/6/2019,Fremantle,11.13,11,Collingwood,11.9,lost
2019,R12,10/6/2019,Melbourne,7.15,12,Collingwood,15.8,lost
2019,R15,29/6/2019,North Melbourne,11.15,15,Collingwood,5.7,win
2019,R19,26/7/2019,Richmond,14.14,19,Collingwood,9.12,win
2019,R20,4/8/2019,Gold Coast,8.3,20,Collingwood,18.12,lost
2019,R23,23/8/2019,Essendon,10.5,23,Collingwood,10.16,win
2019,R3,6/4/2019,West Coast,15.8,3,Collingwood,11.1,win
2019,R4,12/4/2019,Western Bulldogs,9.1,4,Collingwood,11.12,lost
2019,R7,3/5/2019,Port Adelaide,10.9,7,Collingwood,15.18,lost
2019,R9,18/5/2019,St Kilda,10.11,9,Collingwood,17.1,lost
2019,R11,2/6/2019,Carlton,4.9,11,Essendon,11.8,lost
2019,R13,14/6/2019,Hawthorn,11.11,13,Essendon,14.12,lost
2019,R15,27/6/2019,Greater Western Sydney,10.11,15,Essendon,12.5,lost
2019,R16,6/7/2019,Sydney,9.12,16,Essendon,11.1,lost
2019,R17,13/7/2019,North Melbourne,12.9,17,Essendon,12.14,win
2019,R2,30/3/2019,St Kilda,10.16,2,Essendon,9.11,win
2019,R20,3/8/2019,Port Adelaide,19.12,20,Essendon,9.13,win
2019,R21,10/8/2019,Western Bulldogs,21.11,21,Essendon,4.9,win
2019,R4,13/4/2019,Brisbane Lions,9.11,4,Essendon,17.1,lost
2019,R6,25/4/2019,Collingwood,10.13,6,Essendon,10.9,lost
2019,R9,18/5/2019,Fremantle,7.11,9,Essendon,8.12,lost
2019,R1,24/3/2019,North Melbourne,9.5,1,Fremantle,21.15,lost
2019,R10,26/5/2019,Brisbane Lions,10.12,10,Fremantle,10.13,lost
2019,R13,15/6/2019,Port Adelaide,12.7,13,Fremantle,15.1,lost
2019,R15,30/6/2019,Carlton,11.13,15,Fremantle,11.9,lost
2019,R16,6/7/2019,West Coast,19.8,16,Fremantle,2.19,win
2019,R18,20/7/2019,Sydney,7.9,18,Fremantle,7.1,win
2019,R20,3/8/2019,Geelong,9.7,20,Fremantle,14.11,lost
2019,R22,17/8/2019,Essendon,13.9,22,Fremantle,7.13,win
2019,R3,7/4/2019,St Kilda,9.12,3,Fremantle,11.5,lost
2019,R6,27/4/2019,Western Bulldogs,9.15,6,Fremantle,13.1,lost
2019,R8,12/5/2019,Richmond,17.9,8,Fremantle,12.14,win
2019,QF,6/9/2019,Collingwood,9.7,26,Geelong,7.9,win
2019,R11,1/6/2019,Sydney,8.15,11,Geelong,13.7,lost
2019,R15,28/6/2019,Adelaide,10.9,15,Geelong,14.12,lost
2019,R17,13/7/2019,St Kilda,8.9,17,Geelong,12.12,lost
2019,R18,21/7/2019,Hawthorn,12.13,18,Geelong,8.13,win
2019,R2,30/3/2019,Melbourne,6.1,2,Geelong,20.6,lost
2019,R21,10/8/2019,North Melbourne,1.8,21,Geelong,9.15,lost
2019,R23,24/8/2019,Carlton,8.13,23,Geelong,19.15,lost
2019,R4,13/4/2019,Greater Western Sydney,11.13,4,Geelong,11.9,lost
2019,R6,28/4/2019,West Coast,7.4,6,Geelong,15.14,lost
2019,R7,5/5/2019,Essendon,7.12,7,Geelong,13.8,lost
2019,R9,18/5/2019,Western Bulldogs,13.11,9,Geelong,21.7,lost
2019,SF,13/9/2019,West Coast,10.8,27,Geelong,13.1,lost
2019,R10,25/5/2019,Geelong,13.13,10,Gold Coast,9.1,win
2019,R12,8/6/2019,North Melbourne,14.15,12,Gold Coast,11.6,win
2019,R13,15/6/2019,St Kilda,11.14,13,Gold Coast,11.1,win
2019,R16,6/7/2019,Richmond,23.12,16,Gold Coast,9.4,win
2019,R17,13/7/2019,Adelaide,23.13,17,Gold Coast,8.8,win
2019,R19,28/7/2019,Essendon,16.1,19,Gold Coast,15.6,win
2019,R2,31/3/2019,Fremantle,8.1,2,Gold Coast,7.19,win
2019,R23,24/8/2019,Greater Western Sydney,20.7,23,Gold Coast,7.13,win
2019,R4,14/4/2019,Carlton,8.9,4,Gold Coast,8.11,win
2019,R6,27/4/2019,Brisbane Lions,16.15,6,Gold Coast,9.8,win
2019,R8,11/5/2019,Melbourne,8.13,8,Gold Coast,9.6,lost
2019,EF,7/9/2019,Western Bulldogs,8.7,25,Greater Western Sydney,16.17,lost
2019,R1,24/3/2019,Essendon,5.1,1,Greater Western Sydney,16.16,lost
2019,R11,1/6/2019,Gold Coast,6.7,11,Greater Western Sydney,19.12,lost
2019,R16,7/7/2019,Brisbane Lions,14.1,16,Greater Western Sydney,11.8,win
2019,R18,20/7/2019,Collingwood,11.9,18,Greater Western Sydney,19.8,lost
2019,R20,3/8/2019,Sydney,12.9,20,Greater Western Sydney,12.11,win
2019,R21,9/8/2019,Hawthorn,13.7,21,Greater Western Sydney,4.5,win
2019,R22,18/8/2019,Western Bulldogs,19.12,22,Greater Western Sydney,9.11,win
2019,R3,6/4/2019,Richmond,10.16,3,Greater Western Sydney,19.11,lost
2019,R5,20/4/2019,Fremantle,16.1,5,Greater Western Sydney,11.16,win
2019,R7,4/5/2019,St Kilda,10.1,7,Greater Western Sydney,18.6,lost
2019,R9,19/5/2019,Carlton,7.3,9,Greater Western Sydney,20.18,lost
2019,R10,25/5/2019,Port Adelaide,6.13,10,Hawthorn,12.8,lost
2019,R15,29/6/2019,West Coast,11.11,15,Hawthorn,9.17,win
2019,R16,5/7/2019,Collingwood,9.9,16,Hawthorn,9.13,win
2019,R17,13/7/2019,Fremantle,8.5,17,Hawthorn,12.12,lost
2019,R19,27/7/2019,Brisbane Lions,13.9,19,Hawthorn,7.18,win
2019,R2,31/3/2019,Western Bulldogs,16.1,2,Hawthorn,13.9,win
2019,R22,18/8/2019,Gold Coast,7.6,22,Hawthorn,18.1,lost
2019,R3,7/4/2019,North Melbourne,10.11,3,Hawthorn,13.9,lost
2019,R5,22/4/2019,Geelong,17.11,5,Hawthorn,13.12,win
2019,R6,28/4/2019,Carlton,13.1,6,Hawthorn,13.15,lost
2019,R8,12/5/2019,Greater Western Sydney,5.8,8,Hawthorn,10.11,lost
2019,R1,23/3/2019,Port Adelaide,12.15,1,Melbourne,9.7,win
2019,R10,26/5/2019,Greater Western Sydney,14.1,10,Melbourne,10.8,win
2019,R11,1/6/2019,Adelaide,14.6,11,Melbourne,12.16,win
2019,R14,22/6/2019,Fremantle,11.5,14,Melbourne,13.7,lost
2019,R18,21/7/2019,West Coast,14.7,18,Melbourne,11.12,win
2019,R20,3/8/2019,Richmond,13.15,20,Melbourne,9.6,win
2019,R21,10/8/2019,Collingwood,10.1,21,Melbourne,7.11,win
2019,R22,16/8/2019,Sydney,15.5,22,Melbourne,5.12,win
2019,R3,5/4/2019,Essendon,20.1,3,Melbourne,18.4,win
2019,R5,20/4/2019,St Kilda,15.5,5,Melbourne,7.13,win
2019,R7,4/5/2019,Hawthorn,11.8,7,Melbourne,11.13,win
2019,R11,31/5/2019,Richmond,9.8,11,North Melbourne,15.9,lost
2019,R13,16/6/2019,Greater Western Sydney,14.7,13,North Melbourne,10.8,win
2019,R16,7/7/2019,St Kilda,11.7,16,North Melbourne,17.1,lost
2019,R2,31/3/2019,Brisbane Lions,16.11,2,North Melbourne,13.9,win
2019,R20,2/8/2019,Hawthorn,9.1,20,North Melbourne,12.14,lost
2019,R22,17/8/2019,Port Adelaide,8.1,22,North Melbourne,22.12,lost
2019,R23,24/8/2019,Melbourne,12.11,23,North Melbourne,13.1,lost
2019,R4,13/4/2019,Adelaide,8.11,4,North Melbourne,9.17,lost
2019,R5,19/4/2019,Essendon,17.14,5,North Melbourne,7.16,win
2019,R8,12/5/2019,Geelong,16.8,8,North Melbourne,11.14,win
2019,R9,18/5/2019,Sydney,11.11,9,North Melbourne,10.12,win
2019,R14,22/6/2019,Geelong,8.8,14,Port Adelaide,9.13,lost
2019,R15,29/6/2019,Western Bulldogs,10.6,15,Port Adelaide,5.11,win
2019,R17,14/7/2019,Brisbane Lions,14.13,17,Port Adelaide,6.13,win
2019,R19,27/7/2019,Greater Western Sydney,8.8,19,Port Adelaide,7.13,win
2019,R2,30/3/2019,Carlton,11.6,2,Port Adelaide,13.1,lost
2019,R21,10/8/2019,Sydney,7.14,21,Port Adelaide,15.13,lost
2019,R23,25/8/2019,Fremantle,10.7,23,Port Adelaide,15.2,lost
2019,R4,13/4/2019,Richmond,15.9,4,Port Adelaide,14.8,win
2019,R6,26/4/2019,North Melbourne,11.6,6,Port Adelaide,12.16,lost
2019,R8,11/5/2019,Adelaide,13.1,8,Port Adelaide,9.14,win
2019,R9,19/5/2019,Gold Coast,7.9,9,Port Adelaide,13.11,lost
2019,GF,28/9/2019,Greater Western Sydney,3.7,29,Richmond,17.12,lost
2019,PF,20/9/2019,Geelong,9.12,28,Richmond,12.13,lost
2019,R10,25/5/2019,Essendon,6.14,10,Richmond,10.13,lost
2019,R12,7/6/2019,Geelong,16.8,12,Richmond,5.7,win
2019,R17,14/7/2019,Greater Western Sydney,9.13,17,Richmond,13.16,lost
2019,R18,20/7/2019,Port Adelaide,9.9,18,Richmond,15.11,lost
2019,R2,28/3/2019,Collingwood,17.8,2,Richmond,10.6,win
2019,R21,11/8/2019,Carlton,6.9,21,Richmond,11.7,lost
2019,R22,18/8/2019,West Coast,13.4,22,Richmond,13.1,win
2019,R23,25/8/2019,Brisbane Lions,8.7,23,Richmond,12.1,lost
2019,R5,20/4/2019,Sydney,10.7,5,Richmond,13.11,lost
2019,R6,24/4/2019,Melbourne,6.6,6,Richmond,12.13,lost
2019,R9,19/5/2019,Hawthorn,8.11,9,Richmond,14.11,lost
2019,R1,24/3/2019,Gold Coast,13.6,1,St Kilda,13.7,lost
2019,R10,26/5/2019,Carlton,8.7,10,St Kilda,9.14,lost
2019,R11,2/6/2019,Port Adelaide,22.7,11,St Kilda,9.15,win
2019,R14,22/6/2019,Brisbane Lions,17.13,14,St Kilda,8.11,win
2019,R15,30/6/2019,Richmond,16.7,15,St Kilda,10.1,win
2019,R18,21/7/2019,Western Bulldogs,14.5,18,St Kilda,17.14,lost
2019,R19,27/7/2019,Melbourne,13.7,19,St Kilda,15.14,lost
2019,R21,11/8/2019,Fremantle,10.9,21,St Kilda,10.12,win
2019,R4,14/4/2019,Hawthorn,10.9,4,St Kilda,10.14,win
2019,R6,27/4/2019,Adelaide,15.7,6,St Kilda,10.8,win
2019,R8,11/5/2019,West Coast,12.16,8,St Kilda,10.1,win
2019,R10,24/5/2019,Collingwood,11.14,10,Sydney,11.7,lost
2019,R12,9/6/2019,West Coast,10.11,12,Sydney,18.8,lost
2019,R14,21/6/2019,Hawthorn,9.9,14,Sydney,12.1,lost
2019,R15,29/6/2019,Gold Coast,7.9,15,Sydney,14.9,lost
2019,R17,13/7/2019,Carlton,9.15,17,Sydney,8.14,win
2019,R19,28/7/2019,Geelong,16.11,19,Sydney,12.8,win
2019,R2,29/3/2019,Adelaide,12.16,2,Sydney,8.14,win
2019,R23,24/8/2019,St Kilda,8.16,23,Sydney,17.7,lost
2019,R4,11/4/2019,Melbourne,15.1,4,Sydney,11.12,win
2019,R6,27/4/2019,Greater Western Sydney,18.12,6,Sydney,12.7,win
2019,R8,10/5/2019,Essendon,10.12,8,Sydney,11.11,lost
2019,EF,5/9/2019,Essendon,9.7,25,West Coast,17.14,lost
2019,R11,2/6/2019,Western Bulldogs,10.12,11,West Coast,21.7,lost
2019,R14,20/6/2019,Essendon,11.5,14,West Coast,14.22,lost
2019,R17,12/7/2019,Collingwood,11.12,17,West Coast,12.5,lost
2019,R19,27/7/2019,North Melbourne,10.12,19,West Coast,18.13,lost
2019,R2,30/3/2019,Greater Western Sydney,7.1,2,West Coast,16.8,lost
2019,R21,11/8/2019,Adelaide,12.8,21,West Coast,13.12,lost
2019,R23,24/8/2019,Hawthorn,16.9,23,West Coast,9.13,win
2019,R4,13/4/2019,Fremantle,7.14,4,West Coast,10.9,lost
2019,R5,19/4/2019,Port Adelaide,13.17,5,West Coast,8.5,win
2019,R7,4/5/2019,Gold Coast,8.9,7,West Coast,11.14,lost
2019,R9,17/5/2019,Melbourne,9.15,9,West Coast,13.7,lost
2019,R1,23/3/2019,Sydney,9.11,1,Western Bulldogs,11.16,lost
2019,R10,25/5/2019,North Melbourne,18.7,10,Western Bulldogs,13.12,win
2019,R14,23/6/2019,Collingwood,13.4,14,Western Bulldogs,10.13,win
2019,R16,6/7/2019,Geelong,7.13,16,Western Bulldogs,10.11,lost
2019,R17,14/7/2019,Melbourne,9.12,17,Western Bulldogs,10.14,lost
2019,R19,28/7/2019,Fremantle,9.12,19,Western Bulldogs,16.17,lost
2019,R23,25/8/2019,Adelaide,13.9,23,Western Bulldogs,18.13,lost
2019,R3,7/4/2019,Gold Coast,10.13,3,Western Bulldogs,9.14,win
2019,R5,21/4/2019,Carlton,15.11,5,Western Bulldogs,7.15,win
2019,R7,4/5/2019,Richmond,7.1,7,Western Bulldogs,15.9,lost
2019,R8,11/5/2019,Brisbane Lions,11.1,8,Western Bulldogs,13.14,lost
2020,R1,21/3/2020,Sydney,11.8,1,Adelaide,11.5,win
2020,R10,5/8/2020,Melbourne,13.1,10,Adelaide,5.7,win
2020,R11,11/8/2020,Collingwood,10.2,11,Adelaide,5.8,win
2020,R13,23/8/2020,Geelong,9.11,13,Adelaide,5.7,win
2020,R16,8/9/2020,Greater Western Sydney,7.5,16,Adelaide,8.11,lost
2020,R18,19/9/2020,Richmond,12.5,18,Adelaide,4.9,win
2020,R5,5/7/2020,Fremantle,8.6,5,Adelaide,4.1,win
2020,R7,20/7/2020,St Kilda,12.6,7,Adelaide,8.7,win
2020,R8,26/7/2020,Essendon,9.8,8,Adelaide,8.11,win
2020,PF,17/10/2020,Geelong,11.16,28,Brisbane Lions,6.6,win
2020,QF,2/10/2020,Richmond,8.6,26,Brisbane Lions,10.9,lost
2020,R11,8/8/2020,Western Bulldogs,11.6,11,Brisbane Lions,14.12,lost
2020,R13,23/8/2020,St Kilda,7.6,13,Brisbane Lions,6.14,win
2020,R15,4/9/2020,Collingwood,5.4,15,Brisbane Lions,6.6,lost
2020,R16,9/9/2020,Gold Coast,6.7,16,Brisbane Lions,13.1,lost
2020,R18,19/9/2020,Carlton,10.1,18,Brisbane Lions,11.12,lost
2020,R2,13/6/2020,Fremantle,10.9,2,Brisbane Lions,12.9,lost
2020,R3,20/6/2020,West Coast,6.8,3,Brisbane Lions,10.14,lost
2020,R4,28/6/2020,Adelaide,7.4,4,Brisbane Lions,10.23,lost
2020,R5,4/7/2020,Port Adelaide,6.12,5,Brisbane Lions,12.13,lost
2020,R14,30/8/2020,Collingwood,10.12,14,Carlton,7.6,win
2020,R16,8/9/2020,Sydney,8.4,16,Carlton,8.9,lost
2020,R17,13/9/2020,Adelaide,10.12,17,Carlton,8.8,win
2020,R2,13/6/2020,Melbourne,8.6,2,Carlton,7.11,win
2020,R5,2/7/2020,St Kilda,11.7,5,Carlton,8.7,win
2020,R6,12/7/2020,Western Bulldogs,7.9,6,Carlton,16.7,lost
2020,R7,19/7/2020,Port Adelaide,9.1,7,Carlton,9.7,lost
2020,R9,31/7/2020,Hawthorn,14.5,9,Carlton,9.4,win
2020,R10,6/8/2020,Sydney,6.5,10,Collingwood,6.14,win
2020,R13,24/8/2020,North Melbourne,5.5,13,Collingwood,10.5,lost
2020,R17,14/9/2020,Gold Coast,6.1,17,Collingwood,10.8,lost
2020,R18,21/9/2020,Port Adelaide,9.7,18,Collingwood,7.3,win
2020,R2,11/6/2020,Richmond,5.6,2,Collingwood,5.6,draw
2020,R3,20/6/2020,St Kilda,5.7,3,Collingwood,12.9,lost
2020,R5,3/7/2020,Essendon,10.3,5,Collingwood,7.6,win
2020,R6,10/7/2020,Hawthorn,3.9,6,Collingwood,8.11,lost
2020,R1,21/3/2020,Fremantle,8.9,1,Essendon,9.9,lost
2020,R10,7/8/2020,Greater Western Sydney,8.11,10,Essendon,8.7,lost
2020,R13,22/8/2020,Richmond,10.13,13,Essendon,10.1,win
2020,R18,19/9/2020,Melbourne,10.8,18,Essendon,7.7,win
2020,R4,27/6/2020,Carlton,7.1,4,Essendon,8.3,lost
2020,R6,11/7/2020,North Melbourne,7.11,6,Essendon,9.13,lost
2020,R7,17/7/2020,Western Bulldogs,14.9,7,Essendon,7.9,win
2020,R9,31/7/2020,Brisbane Lions,14.7,9,Essendon,3.1,win
2020,R11,10/8/2020,Hawthorn,4.8,11,Fremantle,7.6,lost
2020,R12,15/8/2020,Carlton,5.1,12,Fremantle,5.6,lost
2020,R13,22/8/2020,Sydney,2.7,13,Fremantle,7.8,lost
2020,R14,29/8/2020,Greater Western Sydney,14.7,14,Fremantle,8.5,win
2020,R18,20/9/2020,Western Bulldogs,11.8,18,Fremantle,6.8,win
2020,R3,21/6/2020,Port Adelaide,10.1,3,Fremantle,6.5,win
2020,R6,11/7/2020,St Kilda,11.7,6,Fremantle,12.7,lost
2020,R7,19/7/2020,West Coast,9.8,7,Fremantle,5.2,win
2020,R8,27/7/2020,Geelong,6.12,8,Fremantle,2.4,win
2020,R9,2/8/2020,Collingwood,7.7,9,Fremantle,10.1,lost
2020,R10,5/8/2020,North Melbourne,9.3,10,Geelong,13.12,lost
2020,R12,14/8/2020,Port Adelaide,4.7,12,Geelong,14.7,lost
2020,R16,6/9/2020,Essendon,5.12,16,Geelong,17.6,lost
2020,R17,11/9/2020,Richmond,7.15,17,Geelong,4.7,win
2020,R2,12/6/2020,Hawthorn,7.5,2,Geelong,17.6,lost
2020,R3,20/6/2020,Carlton,12.7,3,Geelong,11.11,win
2020,R5,4/7/2020,Gold Coast,8.4,5,Geelong,13.11,lost
2020,R6,9/7/2020,Brisbane Lions,6.1,6,Geelong,11.7,lost
2020,R7,16/7/2020,Collingwood,8.9,7,Geelong,5.5,win
2020,SF,10/10/2020,Collingwood,5.2,27,Geelong,15.1,lost
2020,R1,21/3/2020,Port Adelaide,10.16,1,Gold Coast,4.5,win
2020,R10,6/8/2020,St Kilda,12.6,10,Gold Coast,11.8,win
2020,R11,12/8/2020,Essendon,11.7,11,Gold Coast,11.7,draw
2020,R13,21/8/2020,Carlton,7.18,13,Gold Coast,4.3,win
2020,R14,30/8/2020,North Melbourne,4.4,14,Gold Coast,12.19,lost
2020,R2,13/6/2020,West Coast,6.1,2,Gold Coast,14.6,lost
2020,R3,21/6/2020,Adelaide,4.5,3,Gold Coast,12.1,lost
2020,R4,27/6/2020,Fremantle,8.3,4,Gold Coast,10.4,lost
2020,R8,23/7/2020,Western Bulldogs,7.9,8,Gold Coast,6.1,win
2020,R9,2/8/2020,Greater Western Sydney,9.7,9,Gold Coast,4.11,win
2020,R1,21/3/2020,Geelong,11.7,1,Greater Western Sydney,17.3,lost
2020,R15,3/9/2020,Carlton,5.9,15,Greater Western Sydney,6.12,lost
2020,R17,12/9/2020,Melbourne,12.7,17,Greater Western Sydney,11.8,win
2020,R2,14/6/2020,North Melbourne,12.8,2,Greater Western Sydney,8.12,win
2020,R4,26/6/2020,Collingwood,9.1,4,Greater Western Sydney,10.6,lost
2020,R5,5/7/2020,Hawthorn,7.7,5,Greater Western Sydney,13.5,lost
2020,R7,18/7/2020,Brisbane Lions,13.1,7,Greater Western Sydney,10.8,win
2020,R8,24/7/2020,Richmond,6.14,8,Greater Western Sydney,9.8,lost
2020,R1,22/3/2020,Brisbane Lions,9.8,1,Hawthorn,14.6,lost
2020,R14,27/8/2020,Essendon,13.9,14,Hawthorn,10.11,win
2020,R15,1/9/2020,Adelaide,12.11,15,Hawthorn,7.6,win
2020,R17,13/9/2020,Western Bulldogs,11.1,17,Hawthorn,6.4,win
2020,R18,20/9/2020,Gold Coast,8.9,18,Hawthorn,17.6,lost
2020,R4,28/6/2020,North Melbourne,8.6,4,Hawthorn,8.1,win
2020,R7,19/7/2020,Melbourne,14.7,7,Hawthorn,7.6,win
2020,R11,9/8/2020,North Melbourne,5.5,11,Melbourne,13.14,lost
2020,R12,15/8/2020,Collingwood,6.8,12,Melbourne,16.4,lost
2020,R14,29/8/2020,St Kilda,7.7,14,Melbourne,8.4,lost
2020,R16,7/9/2020,Fremantle,6.11,16,Melbourne,4.9,win
2020,R4,28/6/2020,Geelong,7.5,4,Melbourne,6.8,win
2020,R5,5/7/2020,Richmond,12.7,5,Melbourne,8.4,win
2020,R6,11/7/2020,Gold Coast,9.9,6,Melbourne,12.8,lost
2020,R8,26/7/2020,Brisbane Lions,7.11,8,Melbourne,7.7,lost
2020,R9,30/7/2020,Port Adelaide,12.11,9,Melbourne,4.8,win
2020,R1,22/3/2020,St Kilda,7.12,1,North Melbourne,8.8,lost
2020,R12,15/8/2020,Brisbane Lions,7.11,12,North Melbourne,8.4,lost
2020,R16,5/9/2020,Port Adelaide,11.12,16,North Melbourne,6.6,win
2020,R17,12/9/2020,Fremantle,15.9,17,North Melbourne,5.5,win
2020,R18,17/9/2020,West Coast,7.7,18,North Melbourne,4.1,win
2020,R3,20/6/2020,Sydney,10.11,3,North Melbourne,8.12,win
2020,R8,25/7/2020,Carlton,9.1,8,North Melbourne,9.3,lost
2020,R9,1/8/2020,Adelaide,7.8,9,North Melbourne,19.5,lost
2020,PF,16/10/2020,Richmond,6.1,28,Port Adelaide,6.4,lost
2020,QF,1/10/2020,Geelong,5.12,26,Port Adelaide,9.4,lost
2020,R10,3/8/2020,Western Bulldogs,5.12,10,Port Adelaide,8.7,lost
2020,R11,8/8/2020,Richmond,11.6,11,Port Adelaide,13.15,lost
2020,R13,22/8/2020,Hawthorn,9.4,13,Port Adelaide,9.14,win
2020,R14,29/8/2020,Sydney,7.5,14,Port Adelaide,11.7,lost
2020,R17,12/9/2020,Essendon,4.5,17,Port Adelaide,11.13,lost
2020,R2,13/6/2020,Adelaide,5.5,2,Port Adelaide,17.8,lost
2020,R4,27/6/2020,West Coast,6.5,4,Port Adelaide,13.11,lost
2020,R6,12/7/2020,Greater Western Sydney,6.1,6,Port Adelaide,9.9,lost
2020,R8,25/7/2020,St Kilda,12.1,8,Port Adelaide,6.8,win
2020,GF,24/10/2020,Geelong,7.8,29,Richmond,12.9,lost
2020,R1,19/3/2020,Carlton,12.9,1,Richmond,16.9,lost
2020,R10,4/8/2020,Brisbane Lions,4.17,10,Richmond,12.1,lost
2020,R12,17/8/2020,Gold Coast,4.8,12,Richmond,8.5,lost
2020,R14,27/8/2020,West Coast,9.7,14,Richmond,14.4,lost
2020,R15,2/9/2020,Fremantle,4.5,15,Richmond,8.8,lost
2020,R3,18/6/2020,Hawthorn,11.5,3,Richmond,5.9,win
2020,R6,12/7/2020,Sydney,3.8,6,Richmond,4.1,lost
2020,R7,18/7/2020,North Melbourne,2.11,7,Richmond,11.11,lost
2020,SF,9/10/2020,St Kilda,6.13,27,Richmond,12.8,lost
2020,EF,3/10/2020,Western Bulldogs,9.1,25,St Kilda,10.7,lost
2020,R11,10/8/2020,Geelong,14.9,11,St Kilda,4.1,win
2020,R12,16/8/2020,Essendon,5.3,12,St Kilda,10.8,lost
2020,R16,6/9/2020,Hawthorn,9.12,16,St Kilda,11.14,lost
2020,R17,10/9/2020,West Coast,9.11,17,St Kilda,6.14,win
2020,R18,18/9/2020,Greater Western Sydney,3.12,18,St Kilda,12.1,lost
2020,R2,14/6/2020,Western Bulldogs,7.7,2,St Kilda,14.4,lost
2020,R4,27/6/2020,Richmond,10.7,4,St Kilda,15.3,lost
2020,R9,1/8/2020,Sydney,6.12,9,St Kilda,15.11,lost
2020,R12,13/8/2020,Greater Western Sydney,3.7,12,Sydney,10.6,lost
2020,R15,3/9/2020,Melbourne,6.1,15,Sydney,10.7,lost
2020,R17,13/9/2020,Brisbane Lions,11.7,17,Sydney,6.5,win
2020,R18,20/9/2020,Geelong,10.9,18,Sydney,9.9,win
2020,R2,14/6/2020,Essendon,12.7,2,Sydney,11.7,win
2020,R4,25/6/2020,Western Bulldogs,10.7,4,Sydney,5.9,win
2020,R7,18/7/2020,Gold Coast,13.14,7,Sydney,9.6,win
2020,R8,25/7/2020,Hawthorn,7.11,8,Sydney,9.6,lost
2020,EF,3/10/2020,Collingwood,12.4,25,West Coast,11.9,win
2020,R1,22/3/2020,Melbourne,7.9,1,West Coast,12.6,lost
2020,R11,9/8/2020,Carlton,7.8,11,West Coast,11.6,lost
2020,R12,16/8/2020,Hawthorn,7.7,12,West Coast,12.9,lost
2020,R13,23/8/2020,Greater Western Sydney,7.7,13,West Coast,9.7,lost
2020,R15,1/9/2020,Essendon,6.9,15,West Coast,9.6,lost
2020,R5,4/7/2020,Sydney,6.7,5,West Coast,11.11,lost
2020,R6,11/7/2020,Adelaide,5.4,6,West Coast,10.7,lost
