Year,Round,Date,AwayTeam,AwayTeamScoreFT,RoundOrder,HomeTeam,HomeTeamScoreFT,Result
2017,R14,25/6/2017,Carlton,8.1,14,Richmond,11.18,lost
2017,R17,16/7/2017,Brisbane Lions,12.9,17,Richmond,16.16,lost
2017,R18,23/7/2017,Greater Western Sydney,6.9,18,Richmond,9.1,lost
2017,R2,30/3/2017,Collingwood,11.14,2,Richmond,14.15,lost
2017,R20,6/8/2017,Hawthorn,9.1,20,Richmond,13.15,lost
2017,R23,27/8/2017,St Kilda,12.9,23,Richmond,19.8,lost
2017,R3,8/4/2017,West Coast,8.17,3,Richmond,11.1,lost
2017,R5,24/4/2017,Melbourne,11.9,5,Richmond,12.16,lost
2017,R8,14/5/2017,Fremantle,10.12,8,Richmond,10.1,win
2017,R1,25/3/2017,Melbourne,18.12,1,St Kilda,13.12,win
2017,R14,25/6/2017,Gold Coast,10.12,14,St Kilda,14.19,lost
2017,R16,8/7/2017,Richmond,10.11,16,St Kilda,21.12,lost
2017,R17,14/7/2017,Essendon,17.16,17,St Kilda,7.15,win
2017,R20,6/8/2017,West Coast,14.11,20,St Kilda,15.13,lost
2017,R22,20/8/2017,North Melbourne,12.6,22,St Kilda,18.19,lost
2017,R3,9/4/2017,Brisbane Lions,11.1,3,St Kilda,14.23,lost
2017,R5,23/4/2017,Geelong,19.12,5,St Kilda,13.1,win
2017,R7,5/5/2017,Greater Western Sydney,12.13,7,St Kilda,16.12,lost
2017,R8,13/5/2017,Carlton,10.6,8,St Kilda,12.13,lost
2017,R9,20/5/2017,Sydney,18.1,9,St Kilda,10.8,win
2017,EF,9/9/2017,Essendon,8.8,25,Sydney,19.7,lost
2017,R1,25/3/2017,Port Adelaide,17.8,1,Sydney,12.1,win
2017,R10,26/5/2017,Hawthorn,12.9,10,Sydney,11.9,win
2017,R12,8/6/2017,Western Bulldogs,6.6,12,Sydney,12.16,lost
2017,R14,23/6/2017,Essendon,12.13,14,Sydney,11.2,win
2017,R16,8/7/2017,Gold Coast,7.9,16,Sydney,17.16,lost
2017,R18,22/7/2017,St Kilda,9.5,18,Sydney,14.17,lost
2017,R21,12/8/2017,Fremantle,5.9,21,Sydney,22.11,lost
2017,R23,26/8/2017,Carlton,8.9,23,Sydney,21.12,lost
2017,R3,7/4/2017,Collingwood,11.14,3,Sydney,11.13,win
2017,R5,22/4/2017,Greater Western Sydney,15.15,5,Sydney,9.9,win
2017,R7,7/5/2017,Brisbane Lions,12.9,7,Sydney,20.15,lost
2017,R10,28/5/2017,Greater Western Sydney,14.14,10,West Coast,14.6,lost
2017,R13,15/6/2017,Geelong,10.1,13,West Coast,11.17,lost
2017,R14,24/6/2017,Melbourne,15.9,14,West Coast,14.12,win
2017,R16,9/7/2017,Port Adelaide,18.12,16,West Coast,13.1,win
2017,R19,30/7/2017,Brisbane Lions,6.9,19,West Coast,17.11,lost
2017,R2,1/4/2017,St Kilda,13.19,2,West Coast,18.8,lost
2017,R21,12/8/2017,Carlton,12.11,21,West Coast,15.1,lost
2017,R23,27/8/2017,Adelaide,10.11,23,West Coast,15.1,lost
2017,R4,13/4/2017,Sydney,10.5,4,West Coast,13.13,lost
2017,R6,29/4/2017,Fremantle,9.8,6,West Coast,16.7,lost
2017,R8,12/5/2017,Western Bulldogs,8.13,8,West Coast,9.15,lost
2017,R10,27/5/2017,St Kilda,7.8,10,Western Bulldogs,13.12,lost
2017,R13,18/6/2017,Melbourne,17.11,13,Western Bulldogs,8.8,win
2017,R14,24/6/2017,North Melbourne,16.1,14,Western Bulldogs,15.17,win
2017,R15,1/7/2017,West Coast,12.15,15,Western Bulldogs,11.14,win
2017,R18,22/7/2017,Gold Coast,8.8,18,Western Bulldogs,16.14,lost
2017,R19,30/7/2017,Essendon,13.19,19,Western Bulldogs,19.13,lost
2017,R2,31/3/2017,Sydney,13.9,2,Western Bulldogs,16.14,lost
2017,R21,11/8/2017,Greater Western Sydney,16.9,21,Western Bulldogs,7.15,win
2017,R22,19/8/2017,Port Adelaide,14.12,22,Western Bulldogs,11.13,win
2017,R5,22/4/2017,Brisbane Lions,14.6,5,Western Bulldogs,17.2,lost
2017,R7,6/5/2017,Richmond,11.9,7,Western Bulldogs,11.14,win
2018,R11,3/6/2018,Greater Western Sydney,14.13,11,Adelaide,11.15,win
2018,R15,30/6/2018,West Coast,12.6,15,Adelaide,12.16,win
2018,R17,12/7/2018,Geelong,14.13,17,Adelaide,16.16,lost
2018,R19,28/7/2018,Melbourne,13.12,19,Adelaide,10.17,win
2018,R2,29/3/2018,Richmond,12.1,2,Adelaide,18.1,lost
2018,R20,4/8/2018,Port Adelaide,14.9,20,Adelaide,13.18,win
2018,R22,19/8/2018,North Melbourne,11.11,22,Adelaide,12.14,lost
2018,R4,13/4/2018,Collingwood,16.1,4,Adelaide,9.4,win
2018,R6,28/4/2018,Gold Coast,9.8,6,Adelaide,16.14,lost
2018,R7,5/5/2018,Carlton,10.1,7,Adelaide,19.11,lost
2018,R9,18/5/2018,Western Bulldogs,2.14,9,Adelaide,9.9,lost
2018,R10,26/5/2018,Sydney,10.7,10,Brisbane Lions,6.13,win
2018,R12,10/6/2018,Essendon,12.12,12,Brisbane Lions,8.14,win
2018,R14,23/6/2018,Greater Western Sydney,16.13,14,Brisbane Lions,12.1,win
2018,R16,7/7/2018,Carlton,7.13,16,Brisbane Lions,18.12,lost
2018,R18,21/7/2018,Adelaide,13.15,18,Brisbane Lions,13.1,win
2018,R2,31/3/2018,Melbourne,14.16,2,Brisbane Lions,10.14,win
2018,R20,4/8/2018,North Melbourne,16.11,20,Brisbane Lions,16.8,lost
2018,R23,26/8/2018,West Coast,14.14,23,Brisbane Lions,11.6,win
2018,R5,22/4/2018,Gold Coast,11.1,5,Brisbane Lions,10.11,win
2018,R7,6/5/2018,Collingwood,19.7,7,Brisbane Lions,18.6,win
2018,R9,20/5/2018,Hawthorn,11.7,9,Brisbane Lions,20.9,lost
2018,R13,16/6/2018,Fremantle,15.13,13,Carlton,6.1,win
2018,R15,30/6/2018,Port Adelaide,13.12,15,Carlton,10.9,win
2018,R18,22/7/2018,Hawthorn,18.16,18,Carlton,7.1,win
2018,R2,31/3/2018,Gold Coast,15.11,2,Carlton,9.13,win
2018,R20,5/8/2018,Greater Western Sydney,23.13,20,Carlton,7.4,win
2018,R22,19/8/2018,Western Bulldogs,10.6,22,Carlton,7.7,win
2018,R23,25/8/2018,Adelaide,26.9,23,Carlton,8.13,win
2018,R3,6/4/2018,Collingwood,16.4,3,Carlton,11.1,win
2018,R5,21/4/2018,West Coast,10.19,5,Carlton,10.9,lost
2018,R8,12/5/2018,Essendon,10.18,8,Carlton,14.7,lost
2018,R9,20/5/2018,Melbourne,25.9,9,Carlton,7.8,win
2018,R10,25/5/2018,Western Bulldogs,8.7,10,Collingwood,13.12,lost
2018,R11,3/6/2018,Fremantle,12.5,11,Collingwood,21.12,lost
2018,R14,24/6/2018,Carlton,9.5,14,Collingwood,11.13,lost
2018,R17,15/7/2018,West Coast,15.12,17,Collingwood,9.13,win
2018,R18,21/7/2018,North Melbourne,9.1,18,Collingwood,20.1,lost
2018,R2,31/3/2018,Greater Western Sydney,15.5,2,Collingwood,12.7,win
2018,R21,11/8/2018,Brisbane Lions,11.7,21,Collingwood,14.2,lost
2018,R22,18/8/2018,Port Adelaide,10.4,22,Collingwood,17.13,lost
2018,R5,25/4/2018,Essendon,7.1,5,Collingwood,14.17,lost
2018,R6,29/4/2018,Richmond,16.17,6,Collingwood,10.1,win
2018,R8,13/5/2018,Geelong,9.12,8,Collingwood,5.15,win
2018,SF,15/9/2018,Greater Western Sydney,9.5,27,Collingwood,9.15,win
2018,R1,23/3/2018,Adelaide,12.15,1,Essendon,14.15,lost
2018,R11,2/6/2018,Richmond,17.12,11,Essendon,6.7,win
2018,R15,1/7/2018,North Melbourne,16.12,15,Essendon,19.11,lost
2018,R16,8/7/2018,Collingwood,12.6,16,Essendon,9.8,win
2018,R18,21/7/2018,Fremantle,11.4,18,Essendon,13.21,lost
2018,R19,27/7/2018,Sydney,10.6,19,Essendon,15.19,lost
2018,R21,10/8/2018,St Kilda,11.13,21,Essendon,18.14,lost
2018,R4,15/4/2018,Port Adelaide,12.12,4,Essendon,16.1,lost
2018,R6,29/4/2018,Melbourne,16.12,6,Essendon,10.12,win
2018,R7,5/5/2018,Hawthorn,13.12,7,Essendon,10.7,win
2018,R9,19/5/2018,Geelong,7.8,9,Essendon,12.12,lost
2018,R10,27/5/2018,North Melbourne,12.14,10,Fremantle,8.1,win
2018,R12,10/6/2018,Adelaide,9.14,12,Fremantle,10.11,lost
2018,R15,1/7/2018,Brisbane Lions,18.11,15,Fremantle,9.1,win
2018,R17,15/7/2018,Port Adelaide,7.8,17,Fremantle,8.11,lost
2018,R19,29/7/2018,Hawthorn,17.1,19,Fremantle,7.11,win
2018,R2,31/3/2018,Essendon,14.6,2,Fremantle,16.1,lost
2018,R21,12/8/2018,Carlton,10.12,21,Fremantle,15.11,lost
2018,R23,25/8/2018,Collingwood,11.1,23,Fremantle,9.13,win
2018,R5,21/4/2018,Western Bulldogs,8.6,5,Fremantle,16.12,lost
2018,R6,29/4/2018,West Coast,13.11,6,Fremantle,12.9,win
2018,R8,12/5/2018,St Kilda,8.11,8,Fremantle,13.11,lost
2018,R10,26/5/2018,Carlton,5.15,10,Geelong,11.7,lost
2018,R12,9/6/2018,North Melbourne,8.11,12,Geelong,14.12,lost
2018,R13,17/6/2018,Richmond,12.11,13,Geelong,9.11,win
2018,R18,21/7/2018,Melbourne,14.14,18,Geelong,16.4,lost
2018,R19,28/7/2018,Brisbane Lions,11.12,19,Geelong,18.12,lost
2018,R2,2/4/2018,Hawthorn,17.16,2,Geelong,18.9,lost
2018,R22,18/8/2018,Fremantle,3.7,22,Geelong,24.14,lost
2018,R23,25/8/2018,Gold Coast,5.1,23,Geelong,22.1,lost
2018,R4,15/4/2018,St Kilda,7.14,4,Geelong,15.13,lost
2018,R6,28/4/2018,Sydney,12.14,6,Geelong,10.9,win
2018,R7,4/5/2018,Greater Western Sydney,4.8,7,Geelong,14.9,lost
2018,R1,24/3/2018,North Melbourne,5.9,1,Gold Coast,7.13,lost
2018,R11,2/6/2018,Geelong,17.19,11,Gold Coast,4.12,win
2018,R13,16/6/2018,St Kilda,11.14,13,Gold Coast,11.12,win
2018,R15,30/6/2018,Collingwood,14.15,15,Gold Coast,8.12,win
2018,R17,14/7/2018,Essendon,13.17,17,Gold Coast,6.15,win
2018,R19,28/7/2018,Carlton,12.7,19,Gold Coast,5.14,win
2018,R21,11/8/2018,Richmond,19.11,21,Gold Coast,7.9,win
2018,R22,18/8/2018,Brisbane Lions,10.18,22,Gold Coast,11.8,lost
2018,R3,7/4/2018,Fremantle,13.18,3,Gold Coast,10.8,win
2018,R8,12/5/2018,Melbourne,21.2,8,Gold Coast,11.11,win
2018,R9,19/5/2018,Port Adelaide,11.16,9,Gold Coast,6.6,win
2018,R1,25/3/2018,Western Bulldogs,7.9,1,Greater Western Sydney,20.13,lost
2018,R10,26/5/2018,Essendon,14.11,10,Greater Western Sydney,8.12,win
2018,R12,9/6/2018,Gold Coast,4.2,12,Greater Western Sydney,20.14,lost
2018,R15,30/6/2018,Hawthorn,13.6,15,Greater Western Sydney,13.17,win
2018,R17,14/7/2018,Richmond,10.17,17,Greater Western Sydney,11.13,lost
2018,R19,28/7/2018,St Kilda,8.13,19,Greater Western Sydney,13.8,lost
2018,R21,11/8/2018,Adelaide,13.14,21,Greater Western Sydney,15.16,lost
2018,R22,18/8/2018,Sydney,11.14,22,Greater Western Sydney,8.12,win
2018,R4,14/4/2018,Fremantle,7.9,4,Greater Western Sydney,11.16,lost
2018,R6,28/4/2018,Brisbane Lions,5.13,6,Greater Western Sydney,10.17,lost
2018,R8,12/5/2018,West Coast,12.14,8,Greater Western Sydney,8.13,win
2018,R1,24/3/2018,Collingwood,9.13,1,Hawthorn,15.11,lost
2018,R10,27/5/2018,West Coast,11.9,10,Hawthorn,9.6,win
2018,R11,2/6/2018,Port Adelaide,9.7,11,Hawthorn,9.1,win
2018,R13,16/6/2018,Adelaide,4.8,13,Hawthorn,12.16,lost
2018,R14,23/6/2018,Gold Coast,5.13,14,Hawthorn,13.18,lost
2018,R17,14/7/2018,Brisbane Lions,15.8,17,Hawthorn,9.11,win
2018,R20,4/8/2018,Essendon,16.7,20,Hawthorn,16.11,win
2018,R21,11/8/2018,Geelong,8.12,21,Hawthorn,10.11,lost
2018,R4,15/4/2018,Melbourne,6.12,4,Hawthorn,18.7,lost
2018,R6,28/4/2018,St Kilda,7.12,6,Hawthorn,13.11,lost
2018,R8,11/5/2018,Sydney,12.7,8,Hawthorn,10.11,win
2018,SF,14/9/2018,Melbourne,16.8,27,Hawthorn,10.11,win
2018,EF,7/9/2018,Geelong,6.1,25,Melbourne,10.15,lost
2018,R1,25/3/2018,Geelong,14.13,1,Melbourne,13.16,win
2018,R10,27/5/2018,Adelaide,8.7,10,Melbourne,23.8,lost
2018,R12,11/6/2018,Collingwood,20.13,12,Melbourne,14.7,win
2018,R15,1/7/2018,St Kilda,18.11,15,Melbourne,18.9,lost
2018,R16,7/7/2018,Fremantle,7.6,16,Melbourne,13.24,lost
2018,R17,14/7/2018,Western Bulldogs,10.9,17,Melbourne,18.11,lost
2018,R20,5/8/2018,Gold Coast,7.5,20,Melbourne,21.17,lost
2018,R21,12/8/2018,Sydney,13.9,21,Melbourne,10.18,win
2018,R23,26/8/2018,Greater Western Sydney,8.9,23,Melbourne,15.12,lost
2018,R3,7/4/2018,North Melbourne,13.8,3,Melbourne,18.15,lost
2018,R5,24/4/2018,Richmond,15.12,5,Melbourne,8.8,win
2018,R11,3/6/2018,Brisbane Lions,12.15,11,North Melbourne,21.15,lost
2018,R16,8/7/2018,Gold Coast,8.1,16,North Melbourne,14.11,lost
2018,R17,15/7/2018,Sydney,16.8,17,North Melbourne,15.8,win
2018,R19,29/7/2018,West Coast,6.5,19,North Melbourne,12.9,lost
2018,R2,30/3/2018,St Kilda,5.13,2,North Melbourne,13.17,lost
2018,R21,12/8/2018,Western Bulldogs,13.14,21,North Melbourne,12.13,win
2018,R4,14/4/2018,Carlton,4.6,4,North Melbourne,18.8,lost
2018,R5,22/4/2018,Hawthorn,11.4,5,North Melbourne,14.14,lost
2018,R6,28/4/2018,Port Adelaide,15.12,6,North Melbourne,10.9,win
2018,R8,13/5/2018,Richmond,12.1,8,North Melbourne,11.6,win
2018,R9,19/5/2018,Greater Western Sydney,9.15,9,North Melbourne,17.1,lost
2018,R1,24/3/2018,Fremantle,9.6,1,Port Adelaide,16.14,lost
2018,R12,8/6/2018,Richmond,8.1,12,Port Adelaide,10.12,lost
2018,R13,14/6/2018,Western Bulldogs,11.9,13,Port Adelaide,20.12,lost
2018,R14,22/6/2018,Melbourne,9.11,14,Port Adelaide,11.9,lost
2018,R16,7/7/2018,St Kilda,7.8,16,Port Adelaide,12.14,lost
2018,R18,22/7/2018,Greater Western Sydney,11.14,18,Port Adelaide,8.1,win
2018,R21,11/8/2018,West Coast,9.8,21,Port Adelaide,9.4,win
2018,R23,24/8/2018,Essendon,17.9,23,Port Adelaide,13.11,win
2018,R3,7/4/2018,Brisbane Lions,14.8,3,Port Adelaide,14.13,win
2018,R5,21/4/2018,Geelong,12.12,5,Port Adelaide,7.8,win
2018,R8,12/5/2018,Adelaide,14.6,8,Port Adelaide,14.11,win
2018,PF,21/9/2018,Collingwood,15.7,28,Richmond,8.1,win
2018,QF,6/9/2018,Hawthorn,9.1,26,Richmond,13.17,lost
2018,R1,22/3/2018,Carlton,15.5,1,Richmond,17.19,lost
2018,R10,26/5/2018,St Kilda,12.5,10,Richmond,15.15,lost
2018,R15,28/6/2018,Sydney,11.1,15,Richmond,14.9,lost
2018,R16,6/7/2018,Adelaide,8.8,16,Richmond,15.13,lost
2018,R19,28/7/2018,Collingwood,12.5,19,Richmond,16.9,lost
2018,R20,3/8/2018,Geelong,12.1,20,Richmond,12.13,lost
2018,R22,17/8/2018,Essendon,11.7,22,Richmond,12.9,lost
2018,R23,25/8/2018,Western Bulldogs,14.11,23,Richmond,15.8,lost
2018,R3,8/4/2018,Hawthorn,13.11,3,Richmond,15.12,lost
2018,R4,14/4/2018,Brisbane Lions,2.5,4,Richmond,16.14,lost
2018,R7,6/5/2018,Fremantle,4.9,7,Richmond,15.2,lost
2018,R1,24/3/2018,Brisbane Lions,12.1,1,St Kilda,16.11,lost
2018,R12,9/6/2018,Sydney,19.12,12,St Kilda,7.13,win
2018,R17,13/7/2018,Carlton,7.1,17,St Kilda,16.2,lost
2018,R18,20/7/2018,Richmond,16.15,18,St Kilda,8.9,win
2018,R20,4/8/2018,Western Bulldogs,15.13,20,St Kilda,9.14,win
2018,R22,18/8/2018,Hawthorn,12.8,22,St Kilda,11.1,win
2018,R23,26/8/2018,North Melbourne,17.15,23,St Kilda,14.1,win
2018,R3,7/4/2018,Adelaide,15.14,3,St Kilda,7.13,win
2018,R5,21/4/2018,Greater Western Sydney,9.19,5,St Kilda,10.13,lost
2018,R7,6/5/2018,Melbourne,16.1,7,St Kilda,9.13,win
2018,R9,19/5/2018,Collingwood,15.1,9,St Kilda,10.12,win
2018,EF,8/9/2018,Greater Western Sydney,10.19,25,Sydney,4.6,win
2018,R11,1/6/2018,Carlton,9.7,11,Sydney,13.13,lost
2018,R13,15/6/2018,West Coast,7.15,13,Sydney,10.12,lost
2018,R16,5/7/2018,Geelong,8.23,16,Sydney,9.5,lost
2018,R18,21/7/2018,Gold Coast,12.16,18,Sydney,8.16,win
2018,R2,1/4/2018,Port Adelaide,14.1,2,Sydney,10.11,win
2018,R20,4/8/2018,Collingwood,10.11,20,Sydney,11.7,lost
2018,R23,25/8/2018,Hawthorn,12.11,23,Sydney,10.14,win
2018,R3,7/4/2018,Greater Western Sydney,12.15,3,Sydney,16.7,lost
2018,R5,20/4/2018,Adelaide,12.13,5,Sydney,10.15,win
2018,R7,5/5/2018,North Melbourne,9.14,7,Sydney,9.12,win
2018,R9,19/5/2018,Fremantle,7.1,9,Sydney,17.9,lost
2018,GF,29/9/2018,Collingwood,11.8,29,West Coast,11.13,win
2018,PF,22/9/2018,Melbourne,7.13,28,West Coast,18.13,lost
2018,QF,8/9/2018,Collingwood,10.1,26,West Coast,12.14,lost
2018,R1,25/3/2018,Sydney,18.7,1,West Coast,13.8,win
2018,R11,2/6/2018,St Kilda,14.4,11,West Coast,16.5,lost
2018,R14,21/6/2018,Essendon,12.8,14,West Coast,6.16,win
2018,R16,8/7/2018,Greater Western Sydney,10.15,16,West Coast,13.8,lost
2018,R18,22/7/2018,Western Bulldogs,6.1,18,West Coast,14.16,lost
2018,R20,5/8/2018,Fremantle,13.6,20,West Coast,21.16,lost
2018,R22,19/8/2018,Melbourne,16.12,22,West Coast,14.7,win
2018,R3,8/4/2018,Geelong,11.14,3,West Coast,14.11,lost
2018,R4,14/4/2018,Gold Coast,9.5,4,West Coast,21.13,lost
2018,R7,5/5/2018,Port Adelaide,9.6,7,West Coast,16.6,lost
2018,R9,20/5/2018,Richmond,12.11,9,West Coast,20.1,lost
2018,R11,2/6/2018,Melbourne,15.1,11,Western Bulldogs,7.9,win
2018,R14,23/6/2018,North Melbourne,12.5,14,Western Bulldogs,11.9,win
2018,R15,29/6/2018,Geelong,15.11,15,Western Bulldogs,16.7,lost
2018,R16,7/7/2018,Hawthorn,19.8,16,Western Bulldogs,9.5,win
2018,R19,29/7/2018,Port Adelaide,11.12,19,Western Bulldogs,5.4,win
2018,R2,1/4/2018,West Coast,18.13,2,Western Bulldogs,9.16,win
2018,R3,8/4/2018,Essendon,12.11,3,Western Bulldogs,14.2,lost
2018,R4,14/4/2018,Sydney,13.8,4,Western Bulldogs,11.13,win
2018,R6,27/4/2018,Carlton,8.11,6,Western Bulldogs,11.14,lost
